Campus,Account Amount,Bilingual Spending
60914702,16224,
60914703,40308,
60914750,87094,
60914999,835930,
61901000,1094354175,
61901002,29047587,21391.0
61901003,74157348,14682.0
61901005,1752481,6876.0
61901007,23778688,
61901008,18274117,
61901039,1026742,
61901040,1684710,20694.0
61901041,8050003,
61901044,27766075,5553.0
61901045,7951305,14682.0
61901046,8280314,10197.0
61901047,8268209,
61901048,7725991,
61901049,7886537,24640.0
61901050,6953027,
61901102,5199756,
61901104,5466935,131501.0
61901105,6160585,140036.0
61901106,4959199,87667.0
61901107,5784890,107380.0
61901108,5895660,179360.0
61901109,14784498,92527.0
61901110,5422574,115039.0
61901111,5231596,124420.0
61901112,6477358,110758.0
61901113,4818636,99967.0
61901114,3563378,6015.0
61901115,4572639,
61901116,5810228,115982.0
61901117,4408330,
61901118,5095775,
61901119,4956117,
61901120,5471637,
61901121,4896128,
61901122,4120675,
61901123,4255771,
61901124,3211675,24118.0
61901125,5299270,
61901126,3928870,
61901127,5158471,
61901128,5789620,
61901699,339803,90590.0
61901701,980632,
61901702,94136,
61901703,1790905,
61901750,8387963,
61901751,4125771,
61901999,218680474,287620.0
61902000,1703680171,
61902001,37345010,465978.0
61902002,27811611,483.0
61902003,28157564,
61902004,19147453,151018.0
61902005,4972141,55965.0
61902007,663279,
61902008,49555284,237301.0
61902010,37293332,53439.0
61902011,2044895,505.0
61902042,50283914,175455.0
61902044,6333175,51695.0
61902045,5142457,571.0
61902046,5425208,122275.0
61902047,7921518,63610.0
61902048,6298033,17440.0
61902049,7994432,473.0
61902050,7997819,261085.0
61902052,6761235,177183.0
61902053,5465417,68.0
61902054,5665073,52522.0
61902055,5607226,199.0
61902056,6716985,73608.0
61902058,4877906,151.0
61902059,6586882,118789.0
61902101,13073534,497569.0
61902102,111043,
61902104,6310497,669444.0
61902106,12329824,147117.0
61902107,4535823,237378.0
61902108,9486545,155727.0
61902109,4849358,496713.0
61902110,3081898,188.0
61902111,2784730,
61902112,3931597,215.0
61902113,4113231,157948.0
61902114,4082301,120.0
61902115,3690678,95741.0
61902116,4566384,232055.0
61902117,4348571,494.0
61902118,4135675,160306.0
61902119,3463488,168.0
61902120,4369869,152813.0
61902121,3566951,170417.0
61902122,3659756,186.0
61902123,5110263,951.0
61902124,8573168,407313.0
61902125,5176499,24787.0
61902126,9232667,237598.0
61902127,7547381,150062.0
61902128,9940440,157651.0
61902129,8344861,
61902130,5704738,206012.0
61902131,4838945,316082.0
61902132,3994757,155709.0
61902133,3391442,363.0
61902134,4052403,34384.0
61902135,3772957,183.0
61902136,4943750,193.0
61902138,5776124,530661.0
61902139,5842198,147225.0
61902140,4918248,118459.0
61902141,4792041,297745.0
61902142,6888291,484840.0
61902143,5484840,501599.0
61902144,8930364,268970.0
61902699,499907,150203.0
61902701,1129361,
61902702,60468,
61902703,110460,
61902750,9384627,
61902999,389781866,589416.0
61903000,29189131,
61903001,5562919,78176.0
61903041,2047263,95763.0
61903101,2870793,107360.0
61903102,3223917,141985.0
61903699,911,168.0
61903701,293994,
61903702,42477,
61903703,96988,
61903720,145806,
61903750,401979,
61903999,4015899,19.0
61905000,42637967,
61905001,5397530,4435.0
61905002,1089,
61905041,3790847,4955.0
61905101,2970074,81296.0
61905102,2393660,4357.0
61905103,2358296,23173.0
61905699,42439,
61905701,449536,
61905702,4515,
61905703,97574,
61905750,526170,
61905999,10389140,1577.0
61906000,38790011,
61906001,5263267,39656.0
61906041,2554587,28321.0
61906101,4644054,77857.0
61906701,580029,
61906702,3061,
61906703,116745,
61906750,276167,
61906999,6685414,5427.0
61907000,51781966,
61907001,9910315,3223.0
61907041,7476948,114700.0
61907101,3893250,66411.0
61907102,4798428,65294.0
61907103,188856,2202.0
61907699,53837,12460.0
61907701,315159,
61907702,22374,
61907703,114056,
61907750,505460,
61907999,29625486,599.0
61908000,52402863,
61908001,6542457,22288.0
61908003,682397,
61908041,3067382,979.0
61908101,2420878,35658.0
61908102,2625656,37459.0
61908104,3605358,27243.0
61908105,1715331,1001.0
61908699,852,
61908701,501117,
61908702,3358,
61908750,669661,
61908751,6740454,
61908998,10850467,4353.0
61910000,112357767,
61910001,41854268,3793.0
61910041,6062857,4062.0
61910042,2713775,57194.0
61910101,4102522,57220.0
61910103,6994585,3515.0
61910701,231416,
61910702,1126,
61910703,228370,
61910750,1063369,
61910999,21299468,168.0
61911000,1554143245,
61911001,26075948,5143.0
61911003,327800,
61911007,45890105,5542.0
61911010,2456936,
61911011,26204272,4097.0
61911042,11003560,2915.0
61911043,9611365,2799.0
61911044,9490065,3221.0
61911045,8346621,3068.0
61911046,7990517,3216.0
61911047,9045380,2932.0
61911048,1334404,
61911101,27114865,3306.0
61911102,4075846,68082.0
61911106,4510925,3123.0
61911107,4669057,105554.0
61911108,4482041,46736.0
61911109,4985673,3066.0
61911110,3630079,3175.0
61911111,4626124,167766.0
61911112,4196040,2905.0
61911113,4998538,2297.0
61911114,5143027,3253.0
61911115,7556477,3186.0
61911116,5152397,52374.0
61911117,5250590,58167.0
61911118,7529695,3216.0
61911119,5737854,3139.0
61911120,5320817,3112.0
61911121,6195735,3143.0
61911122,8438048,4283.0
61911123,1170453,
61911699,97288,28022.0
61911701,613072,
61911702,37815,
61911703,1865378,
61911750,10758039,
61911998,616053,
61911999,175932245,101380.0
61912000,205149710,
61912001,18570116,54497.0
61912041,9953270,37318.0
61912101,5447216,130561.0
61912103,7103183,33033.0
61912105,5126969,131308.0
61912699,99011,34777.0
61912701,422088,
61912702,9323,
61912703,210806,
61912750,1076166,
61912999,22263202,
61914000,372082424,
61914001,24752153,100652.0
61914041,9606421,111486.0
61914042,4942824,5135.0
61914043,45248396,
61914044,47843604,2183.0
61914103,6424067,96325.0
61914104,5993694,7146.0
61914105,6641453,102178.0
61914107,6354860,824.0
61914108,7143313,178228.0
61914109,648673,
61914699,82347,24119.0
61914701,453434,
61914702,15020,
61914703,488143,
61914750,2907679,
61914999,44238761,142446.0
62901000,43351990,
62901001,5928541,
62901041,3327587,
62901042,3819803,51007.0
62901104,2138272,
62901699,60341,
62901701,251896,
62901702,16931,
62901703,254348,
62901720,46196,
62901750,234978,
62901751,1535413,
62901999,13590987,
62902000,19075781,
62902001,1938346,
62902701,153745,
62902702,29122,
62902703,120549,
62902720,628,
62902750,104552,
62902999,7225333,
62903000,30973975,
62903001,5124391,5462.0
62903041,2715201,35185.0
62903102,2694196,33817.0
62903103,3069881,144571.0
62903699,2,
62903701,242641,
62903702,1476,
62903703,376475,
62903720,6579,
62903750,541653,
62903751,5233125,
62903999,9817011,9668.0
62904000,62145437,
62904001,1821101,220.0
62904041,882500,220.0
62904102,1808200,220.0
62904701,141767,
62904702,20495,
62904703,289348,
62904750,228816,
62904999,28412978,
62905000,18426920,
62905101,1434640,
62905701,210408,
62905702,2271,
62905703,115496,
62905750,43706,
62905999,9335671,
62906000,4762192,
62906101,1740225,
62906701,91942,
62906702,1000,
62906703,14004,
62906720,3591,
62906750,75371,
63903000,8924340,
63903001,2537383,1307.0
63903701,151512,
63903702,19190,
63903703,84225,
63903750,140625,
63903999,1806221,
63906000,4556524,
63906001,1767985,1371.0
63906701,84084,
63906702,16937,
63906703,32183,
63906750,199814,
63906751,38292,
63906999,34539,
64903000,147116814,
64903001,8166105,9930.0
64903041,5040163,7354.0
64903102,6526404,18799.0
64903103,4316211,22010.0
64903699,193621,
64903701,391344,
64903702,57775,
64903703,650411,
64903720,6025,
64903750,850591,
64903999,59084126,
65901000,10449254,
65901001,1858679,1230.0
65901041,882493,1763.0
65901101,1585086,4894.0
65901701,167222,
65901702,4644,
65901703,32110,
65901750,130541,
65901999,1685405,
65902000,3876508,
65902001,1721509,3789.0
65902701,95869,
65902702,6886,
65902703,24108,
65902750,61419,
65902999,132230,
66005000,1942544,
66005101,748264,40879.0
66005701,55530,
66005702,45773,
66005703,6907,
66005750,162503,
66005999,12500,
66901000,13937797,
66901001,1592358,
66901041,1240057,
66901701,403488,
66901702,36488,
66901703,124250,
66901750,308486,
66901999,2082801,
66902000,15671599,
66902001,4105850,1568.0
66902041,2651098,1199.0
66902101,4579442,1438.0
66902701,350929,
66902702,1033,
66902703,88048,
66902750,283851,
66902751,693891,
66902999,5305226,
66903000,18430562,
66903002,3779250,544.0
66903042,1757050,525.0
66903102,3486888,1200.0
66903701,234670,
66903702,77168,
66903703,92772,
66903750,224013,
66903751,1123524,
66903999,4981867,119.0
67902000,6082220,
67902001,3903842,
67902004,194082,
67902041,1487619,
67902101,3328634,20427.0
67902701,86365,
67902702,25052,
67902703,204806,
67902720,24696,
67902750,249786,
67902999,2248185,
67903000,20842515,
67903001,3557943,26113.0
67903003,662,
67903041,1912043,1711.0
67903101,3538649,3212.0
67903701,316536,
67903702,24213,
67903703,220899,
67903720,39,
67903750,140328,
67903999,3333038,
67904000,9557330,
67904001,1090235,9757.0
67904042,493386,167.0
67904101,1141480,4188.0
67904701,130622,
67904702,16266,
67904703,90829,
67904750,169660,
67904751,1486965,
67904999,1234143,
67907000,8662359,
67907001,1227676,
67907041,524140,
67907101,1551537,5375.0
67907701,151302,
67907702,7125,
67907703,58973,
67907750,143069,
67907999,1285707,
67908000,3639469,
67908001,825296,1756.0
67908101,720850,8238.0
67908701,76857,
67908702,3729,
67908703,24451,
67908720,3747,
67908750,99830,
67908999,436274,
68901000,480139101,
68901002,25687652,157435.0
68901003,27339624,150597.0
68901004,2693093,9519.0
68901005,209787,
68901011,3417899,9406.0
68901014,2338255,5907.0
68901015,2191424,4778.0
68901042,8032674,112042.0
68901043,9129139,38758.0
68901044,8594817,194136.0
68901045,7637412,29333.0
68901046,8687084,38567.0
68901047,11208638,157140.0
68901101,4132039,30509.0
68901102,5411477,43753.0
68901103,3719760,43078.0
68901104,5805532,18645.0
68901105,4395965,321423.0
68901106,2926777,8680.0
68901107,4921959,34463.0
68901110,5187107,16189.0
68901111,3257182,12748.0
68901112,3623070,34152.0
68901113,5480329,33381.0
68901114,4636760,10844.0
68901115,3064961,8680.0
68901116,4278064,47414.0
68901117,4589320,136469.0
68901118,5207916,84971.0
68901119,5082556,7311.0
68901121,3666405,33451.0
68901122,3517495,28011.0
68901123,4592021,94751.0
68901124,3732034,36801.0
68901125,3335051,16939.0
68901126,5659055,113401.0
68901127,5088341,66778.0
68901128,6592610,35586.0
68901129,5597598,67635.0
68901130,5285219,74612.0
68901131,4511232,51194.0
68901132,4329592,56621.0
68901133,4257310,26658.0
68901699,1024642,81886.0
68901701,754173,
68901702,536747,
68901703,1985793,
68901720,387621,
68901750,7853267,
68901751,1099755,
68901999,71548287,460577.0
69901000,9298054,
69901001,2818218,7900.0
69901701,297055,
69901702,11476,
69901703,251256,
69901750,144021,
69901999,1664763,
69902000,7491512,
69902001,1358968,
69902101,1454948,3447.0
69902701,210502,
69902702,2924,
69902703,228728,
69902750,107807,
69902999,692544,13.0
70901000,5373257,
70901001,4548652,2600.0
70901701,272625,
70901702,10827,
70901750,25414,
70903000,120652551,
70903002,15541592,34906.0
70903042,6317915,41765.0
70903043,4386272,39673.0
70903101,2259263,37473.0
70903102,2463515,41472.0
70903103,3050770,84531.0
70903104,2740471,19880.0
70903105,4462526,72086.0
70903106,3602157,5739.0
70903107,2686485,981.0
70903699,44679,
70903701,423999,
70903702,34902,
70903703,273183,
70903750,1359586,
70903999,22361742,8238.0
70905000,56310752,
70905002,7206951,47622.0
70905041,5473070,10684.0
70905103,3769321,182851.0
70905104,3913182,61156.0
70905105,4441679,361822.0
70905701,389290,
70905702,3510,
70905703,68027,
70905750,602449,
70905999,9021653,4917.0
70907000,13743993,
70907001,3022430,6812.0
70907101,2497776,16112.0
70907699,4616,
70907701,424208,
70907702,20035,
70907703,1996,
70907750,219272,
70907751,1243592,
70907999,3044091,
70908000,423765233,
70908001,28820673,42286.0
70908003,10552829,13822.0
70908042,6905377,5710.0
70908044,6549849,29721.0
70908045,36128625,
70908103,6481384,15433.0
70908104,4220076,33649.0
70908105,4825339,40795.0
70908106,5115936,51926.0
70908107,6553305,598832.0
70908108,4310487,17028.0
70908109,4353611,25271.0
70908699,63806,6790.0
70908701,435285,
70908702,305171,
70908703,558015,
70908750,2494993,
70908999,104745226,14206.0
70909000,5375718,
70909001,2520793,5108.0
70909701,175323,
70909702,14306,
70909703,15232,
70909750,172115,
70909999,817620,
70910000,25385651,
70910001,4853916,3134.0
70910041,3084770,5531.0
70910101,3682760,45514.0
70910701,323857,
70910702,13526,
70910703,36474,
70910720,54858,
70910750,280712,
70910999,4816730,
70911000,115949000,
70911001,20251539,8627.0
70911041,9338071,
70911101,4423278,
70911102,4060731,146730.0
70911103,3286552,
70911105,4020916,25.0
70911107,3399885,25045.0
70911699,84890,20360.0
70911701,303423,
70911702,33010,
70911703,227985,
70911720,89430,
70911750,2028034,
70911998,68747,
70911999,23365351,50866.0
70912000,201493135,
70912002,20740466,88105.0
70912003,509981,
70912004,2965808,
70912042,5511809,2301.0
70912043,5267014,
70912045,6416523,2110.0
70912104,3506093,100.0
70912106,4274497,213649.0
70912107,4238107,387.0
70912108,5265260,235394.0
70912110,4207521,140.0
70912111,4227022,100.0
70912112,3403389,
70912113,3058470,
70912114,3174100,
70912115,258114,
70912699,42832,4007.0
70912701,322924,
70912702,44815,
70912703,497197,
70912720,311826,
70912750,2411830,
70912751,108460,
70912998,314316,
70912999,62058116,64995.0
70915000,20136073,
70915001,3319276,8003.0
70915041,1993492,200.0
70915101,2336700,23883.0
70915102,984428,200.0
70915701,270681,
70915702,21883,
70915703,37777,
70915720,50327,
70915750,149373,
70915999,5421744,454.0
71901000,217633626,
71901001,6789662,22685.0
71901002,9190627,31516.0
71901004,13798184,44150.0
71901009,2561260,7571.0
71901041,4254986,38703.0
71901042,5540670,220331.0
71901044,5874664,28169.0
71901045,5888716,125457.0
71901101,7418392,165380.0
71901102,5628723,115427.0
71901103,7972310,124503.0
71901104,5377988,96704.0
71901105,7921151,183579.0
71901106,6525146,167614.0
71901699,321302,28316.0
71901701,394175,
71901702,248952,
71901703,308943,
71901750,2666554,
71901999,55370226,405130.0
71902000,1675303824,
71902001,27113499,80844.0
71902002,24683223,72845.0
71902003,12254846,90961.0
71902004,43830426,92500.0
71902005,39598213,137588.0
71902006,20143913,118869.0
71902007,5865508,
71902008,29074763,72585.0
71902009,17310344,79150.0
71902010,20885714,70508.0
71902011,5458297,3748.0
71902012,15663506,149365.0
71902015,3713674,243.0
71902019,2447450,25426.0
71902020,3057816,71.0
71902025,2176293,745.0
71902027,1715970,11255.0
71902041,18650434,73395.0
71902042,5603309,63658.0
71902043,5795200,34537.0
71902044,5977212,79685.0
71902045,4705557,30625.0
71902046,5498010,56384.0
71902047,5578786,45029.0
71902048,15223735,66902.0
71902049,7032373,40562.0
71902051,28779666,79593.0
71902052,6330222,99555.0
71902053,11115906,49604.0
71902054,4098696,51361.0
71902055,6787975,38667.0
71902056,7911788,69248.0
71902102,10716,
71902103,4420076,162535.0
71902104,5855,
71902105,4361950,81880.0
71902106,3295183,69383.0
71902107,8040,
71902109,4452577,100823.0
71902110,5026349,116473.0
71902111,4381223,116048.0
71902112,5780910,114821.0
71902113,4309438,65278.0
71902114,5547079,146786.0
71902115,13110125,121153.0
71902116,3740006,118640.0
71902118,4691007,128494.0
71902119,3778362,98044.0
71902121,4723640,122661.0
71902123,6187731,81664.0
71902125,3643151,112969.0
71902128,5174565,93399.0
71902129,13128954,101447.0
71902130,9269488,368532.0
71902131,5931230,80917.0
71902133,4086310,96798.0
71902134,4511425,77433.0
71902135,3697122,91600.0
71902136,3986189,83782.0
71902138,3018219,98659.0
71902140,13041,
71902141,4322745,80064.0
71902142,3592087,69673.0
71902143,3568163,88927.0
71902146,4329000,89018.0
71902147,4177929,96855.0
71902148,4002795,122224.0
71902149,4623250,98374.0
71902150,4817213,113520.0
71902151,3622595,68728.0
71902153,4737191,96257.0
71902155,10899120,83965.0
71902156,3712512,67380.0
71902158,16729911,47698.0
71902159,4823112,139369.0
71902160,4367122,115496.0
71902161,5860019,50309.0
71902162,4206135,107662.0
71902163,4824555,96815.0
71902165,4047313,112655.0
71902166,5203275,126812.0
71902167,4494705,95393.0
71902168,4855475,141553.0
71902169,4803960,91980.0
71902171,449328,4345.0
71902174,5272013,120967.0
71902175,5339407,57675.0
71902177,5445204,145355.0
71902178,6130976,112888.0
71902181,98501,
71902699,3348063,375512.0
71902701,866676,
71902702,175012,
71902703,2388693,
71902720,958206,
71902750,13038336,
71902751,1080978,
71902998,217008,
71902999,179010509,648206.0
71903000,34898488,
71903001,6893519,82873.0
71903041,3949934,28491.0
71903103,2697469,295563.0
71903105,4711353,496897.0
71903699,84809,16050.0
71903701,508544,
71903702,220,
71903703,35238,
71903750,688077,
71903998,29222,
71903999,7683729,
71904000,62369297,
71904001,10581222,48148.0
71904041,5169953,168854.0
71904101,4975145,107806.0
71904102,4488540,55700.0
71904103,4482494,113145.0
71904104,4232531,99502.0
71904699,207413,10348.0
71904701,309298,
71904702,47048,
71904703,35982,
71904750,1236786,
71904999,9820009,97571.0
71905000,1274363974,
71905001,35386627,84110.0
71905002,25497921,50250.0
71905003,13790346,17149.0
71905004,14536849,80303.0
71905005,13188218,22685.0
71905007,15395665,30006.0
71905008,17498679,139284.0
71905010,1929026,1480.0
71905013,1124278,
71905014,4149842,5207.0
71905017,2705239,534.0
71905018,4340770,17311.0
71905033,2432743,435.0
71905042,11146271,24355.0
71905043,9150286,30124.0
71905044,5406305,26553.0
71905046,4926395,43711.0
71905048,3783966,7684.0
71905050,5395049,11046.0
71905052,4740700,37568.0
71905055,10005383,33815.0
71905056,13059562,44825.0
71905057,1396830,
71905101,4111006,80035.0
71905103,4273118,57073.0
71905104,3660829,56481.0
71905105,5140397,38839.0
71905106,6731662,242385.0
71905107,6111798,100028.0
71905108,4017967,87505.0
71905109,5496973,80013.0
71905110,2988280,66659.0
71905112,4287994,59638.0
71905113,4862668,71001.0
71905114,3307091,52777.0
71905116,5326378,94151.0
71905117,7630540,55113.0
71905118,2671491,29735.0
71905119,4200054,81028.0
71905120,6989009,91767.0
71905121,4560064,58554.0
71905122,6358485,92054.0
71905123,3371684,71143.0
71905124,6499192,87358.0
71905127,4725002,86499.0
71905128,6414413,50962.0
71905129,8415938,58328.0
71905130,5691265,93616.0
71905131,6361139,82208.0
71905132,6294006,54100.0
71905133,7625920,40986.0
71905134,5300842,
71905135,4880364,68339.0
71905136,6798335,85787.0
71905138,6175873,170343.0
71905139,4158494,82044.0
71905141,5199751,75411.0
71905142,4587016,41620.0
71905145,4617936,66305.0
71905146,5843443,93580.0
71905147,3262258,
71905148,857,
71905699,1848962,58852.0
71905701,970117,
71905702,442680,
71905703,1116541,
71905720,601696,
71905750,9715698,
71905751,2703035,
71905999,122353905,915987.0
71906000,16945990,
71906001,2880104,4500.0
71906041,1597689,16726.0
71906101,3621621,27609.0
71906699,36559,4975.0
71906701,298166,
71906702,26486,
71906703,27500,
71906750,407801,
71906999,3569955,
71907000,160206683,
71907001,13465768,94762.0
71907003,2870383,16299.0
71907041,5306129,51253.0
71907042,5322106,86874.0
71907101,4719921,138535.0
71907102,3183440,98044.0
71907103,4578655,97880.0
71907104,3935844,81298.0
71907105,4288976,90969.0
71907106,4257214,160077.0
71907699,272584,28021.0
71907701,396319,
71907702,44065,
71907703,409482,
71907750,4504833,
71907999,24278981,160155.0
71908000,24622794,
71908001,3353862,21773.0
71908041,2194224,18157.0
71908044,1685765,56221.0
71908101,2190401,100282.0
71908699,156345,
71908701,244347,
71908702,45998,
71908703,15073,
71908750,705451,
71908999,5867549,28585.0
71909000,1492202997,
71909001,44128717,108394.0
71909002,31314045,100983.0
71909003,2338420,1820.0
71909004,22854271,80940.0
71909005,24954573,59879.0
71909007,3916022,892.0
71909008,18321719,88824.0
71909009,2049586,288.0
71909011,18633573,57614.0
71909041,5564465,38640.0
71909042,5978412,69640.0
71909043,6242303,56827.0
71909044,8041979,76962.0
71909045,6846754,36169.0
71909046,8213416,62938.0
71909047,7139668,76656.0
71909048,8085160,61107.0
71909049,7844524,67598.0
71909050,5722669,
71909101,4723253,94255.0
71909102,4894677,118199.0
71909103,7490034,87270.0
71909104,4323519,109492.0
71909105,6766197,95689.0
71909106,5311717,81984.0
71909107,4484502,94531.0
71909109,5870737,88560.0
71909110,3269849,63995.0
71909111,4476599,100348.0
71909112,6435561,85788.0
71909113,5220227,64748.0
71909114,6026706,84263.0
71909115,5212854,88011.0
71909116,8743456,108040.0
71909117,6576800,87245.0
71909118,99054,
71909119,7586753,109562.0
71909120,7710426,135478.0
71909121,5412111,85803.0
71909122,7882815,92415.0
71909123,8050092,96423.0
71909124,9096749,86492.0
71909125,4767449,70338.0
71909126,7807331,129411.0
71909127,6197527,77607.0
71909128,5639385,92718.0
71909129,6278542,89692.0
71909130,6132122,141419.0
71909131,6595699,103092.0
71909132,6184703,95363.0
71909133,11361320,74499.0
71909701,930703,
71909702,26544,
71909703,1812229,
71909720,2864414,
71909750,6173550,
71909998,3042490,
71909999,150307827,371688.0
72901000,2958236,
72901101,2213531,11525.0
72901701,201616,
72901702,7497,
72901703,19783,
72901750,73197,
72902000,21445220,
72902001,3655759,
72902101,2745358,155061.0
72902102,2019244,
72902701,420488,
72902702,25449,
72902703,117556,
72902720,7418,
72902750,43472,
72902751,815226,
72902999,7876453,
72903000,123404985,
72903001,35708573,1807.0
72903041,4256604,3121.0
72903101,3080640,51238.0
72903102,3299204,75525.0
72903103,6668263,
72903104,3721385,37608.0
72903699,96575,
72903700,25574,
72903701,320026,
72903702,34985,
72903703,628945,
72903750,821006,
72903999,13457079,93264.0
72904000,4152072,
72904101,2914698,
72904699,18,
72904701,100868,
72904702,29774,
72904703,1818,
72904750,83260,
72904999,1101552,
72908000,18164659,
72908001,1881151,
72908701,185037,
72908702,15509,
72908703,60131,
72908750,107582,
72908999,8187295,
72909000,13221702,
72909001,5760985,26104.0
72909701,105106,
72909702,590,
72909703,44934,
72909720,60335,
72909750,45575,
72910000,2853652,
72910101,937385,506.0
72910701,108074,
72910702,2410,
72910703,26882,
72910750,59859,
72910999,628459,
73901000,12586930,
73901001,6046242,36103.0
73901701,145683,
73901702,6219,
73901703,42053,
73901750,414062,
73901999,797635,
73903000,22045462,
73903001,2752222,1572.0
73903041,2204507,45884.0
73903103,3249622,20411.0
73903701,224361,
73903702,5154,
73903703,131916,
73903720,2618,
73903750,717856,
73903751,2775926,
73903999,3181620,
73904000,3618678,
73904101,1829913,119.0
73904701,74478,
73904702,984,
73904703,8390,
73904750,84424,
73904999,85169,
73905000,17022557,
73905001,2405100,2478.0
73905041,735564,323.0
73905103,1508,
73905105,3027036,2450.0
73905701,226661,
73905702,30964,
73905703,136536,
73905750,156695,
73905999,2882588,
74903000,38902275,
74903001,4036955,
74903041,2280560,
74903102,2757093,30550.0
74903103,1798955,
74903104,3338840,108291.0
74903699,12111,
74903701,308630,
74903702,3538,
74903703,448879,
74903750,586820,
74903751,3208202,
74903999,7718260,4349.0
74904000,7737375,
74904001,4720523,18762.0
74904701,352179,
74904702,1731,
74904703,36879,
74904750,104016,
74904999,81649,
74905000,5914919,
74905001,1443888,
74905101,1118102,1697.0
74905701,155065,
74905702,2621,
74905703,30182,
74905720,2100,
74905750,114731,
74905999,1044945,
74907000,14167741,
74907001,1682439,6282.0
74907041,1043697,3771.0
74907101,1843530,5453.0
74907699,1572,
74907701,188871,
74907702,5018,
74907703,123097,
74907720,55902,
74907750,157817,
74907999,3170591,2700.0
74909000,20002857,
74909001,2915658,5469.0
74909041,1841025,16840.0
74909101,1841544,6512.0
74909102,921623,5550.0
74909701,275196,
74909702,8701,
74909703,119956,
74909720,5997,
74909750,245728,
74909999,2644558,2441.0
74911000,7253067,
74911001,1898056,1309.0
74911101,1727561,1443.0
74911701,124187,
74911702,28953,
74911703,75306,
74911720,1256,
74911750,152099,
74911999,584903,
74912000,14017000,
74912001,1979765,5153.0
74912041,1237240,3990.0
74912101,1813822,6893.0
74912701,232909,
74912702,5324,
74912703,148712,
74912720,95925,7290.0
74912750,211764,
74912999,2659707,
74917000,14898967,
74917001,2377463,
74917101,2192891,561.0
74917701,159689,
74917702,5599,
74917703,56590,
74917720,1000,
74917750,213565,
74917999,2338883,1561.0
75901000,18704298,
75901001,2649014,
75901102,1953982,25505.0
75901103,227909,
75901699,5643,
75901701,179247,
75901702,12322,
75901703,134330,
75901750,182789,
75901999,14510767,500.0
75902000,41774076,
75902001,4694987,1193.0
75902041,2260038,23062.0
75902102,5738287,42663.0
75902701,222288,
75902702,54972,
75902703,353578,
75902750,516144,
75902751,2503007,
75902999,18944122,16957.0
75903000,21452131,
75903001,3118925,
75903102,2576351,22451.0
75903701,405535,
75903702,12860,
75903703,142095,
75903720,9764,
75903750,20519,
75903751,730536,
75903999,3708435,2950.0
75906000,7605579,
75906001,2131229,8268.0
75906701,170799,
75906702,2495,
75906703,72526,
75906750,65241,
75906999,1015158,
75908000,7802821,
75908001,1256569,1424.0
75908101,1050398,11763.0
75908701,140468,
75908702,2391,
75908703,101280,
75908750,111550,
75908999,1919327,
76903000,8120326,
76903001,3189441,8081.0
76903701,162877,
76903702,4626,
76903750,97540,
76903999,860851,
76904000,5537329,
76904001,2655754,2751.0
76904701,259558,
76904702,7538,
76904703,79312,
76904750,67857,
76904999,1292673,
77901000,36304541,
77901001,2938848,4679.0
77901003,244017,1461.0
77901004,56158,
77901041,1020149,6642.0
77901101,3461033,18046.0
77901701,293047,
77901702,10828,
77901703,157493,
77901750,366335,
77901999,22701467,
77902000,13490218,
77902001,1625125,
77902041,1165514,
77902101,1912957,7082.0
77902701,163959,
77902702,33210,
77902703,49525,
77902750,268098,
77902999,2192166,1100.0
78901000,7714025,
78901001,2193250,2178.0
78901701,300860,
78901702,5348,
78901703,121815,
78901750,157575,
78901999,779107,
79901000,1040309125,
79901001,20991821,215466.0
79901002,19078969,68.0
79901003,16796635,2616.0
79901004,2972280,
79901008,366544,
79901009,19505093,71895.0
79901010,11842661,1829.0
79901011,73688205,
79901041,13062234,145942.0
79901042,14030504,181958.0
79901043,13131422,9247.0
79901044,15316735,130640.0
79901045,11273751,58729.0
79901046,35148100,
79901101,4428217,24952.0
79901102,6420079,73306.0
79901105,6917353,75530.0
79901107,5565708,71282.0
79901108,5145995,140792.0
79901109,6068751,174232.0
79901110,6922934,1698.0
79901111,4397419,3017.0
79901112,5718890,9846.0
79901114,6181519,1168.0
79901115,4519556,678.0
79901116,5932039,141359.0
79901117,3211741,4096.0
79901118,4857101,109175.0
79901119,4915462,516.0
79901120,5502853,1340.0
79901121,6170484,6378.0
79901122,5024194,274.0
79901123,6654426,78951.0
79901125,5113762,3656.0
79901126,8330809,71013.0
79901127,6953809,3483.0
79901133,518847,
79901139,6971003,1489.0
79901140,6178317,3294.0
79901141,6956328,4821.0
79901142,5950817,3554.0
79901143,5946964,4457.0
79901144,18025882,
79901146,1813726,
79901699,466030,69747.0
79901700,99735,
79901701,840399,
79901702,40864,
79901703,1480972,
79901750,7014707,183835.0
79901998,989647,
79901999,232326974,387416.0
79906000,52671714,
79906001,10196360,33985.0
79906041,5362991,86227.0
79906042,4239096,65561.0
79906102,7228320,60372.0
79906699,34609,1337.0
79906701,797142,
79906702,3897,
79906703,4282,
79906750,536987,
79906999,12947719,2585.0
79907000,1495968278,
79907001,23359195,155654.0
79907002,16389007,264198.0
79907004,22780814,93209.0
79907005,23269009,266319.0
79907006,21604008,102134.0
79907007,19551138,142247.0
79907008,22038845,145078.0
79907010,456157,
79907011,21439482,264527.0
79907012,16572445,70609.0
79907013,21918947,97609.0
79907016,21647466,156457.0
79907038,4652579,
79907041,11490534,214583.0
79907042,11523602,205333.0
79907043,11459072,213099.0
79907044,11582314,107682.0
79907045,13104231,214220.0
