Campus,Account Amount,Bilingual Spending
10901999,558310,
10902000,74915012,
10902001,5180593,29393.0
10902041,3034043,8766.0
10902101,3218892,14142.0
10902102,3135348,7115.0
10902701,367863,
10902702,9766,
10902703,550739,
10902720,8067,
10902750,496087,
10902999,10878418,1650.0
11901000,177859402,
11901001,11801126,39828.0
11901002,11364330,51640.0
11901005,1357754,7885.0
11901022,800858,4044.0
11901041,5444976,29371.0
11901101,5312036,143226.0
11901102,5069224,36315.0
11901103,5733148,303213.0
11901104,5289614,43152.0
11901106,5959417,51014.0
11901107,5378851,162560.0
11901108,5927317,63211.0
11901109,5276974,195265.0
11901110,5509511,183694.0
11901699,143788,12098.0
11901701,493857,
11901702,5006,
11901703,1021638,
11901750,2199365,
11901999,49188772,255361.0
11902000,89984364,
11902001,12868811,1007.0
11902003,26018,
11902004,1317819,
11902041,7768275,700.0
11902042,724684,919.0
11902101,5503225,11597.0
11902102,6522845,19454.0
11902103,5984887,10006.0
11902699,53353,16202.0
11902701,636777,
11902702,15178,
11902703,323920,
11902750,1412450,
11902999,20050708,590477.0
11904000,35310807,
11904002,4810019,1822.0
11904041,4093150,1165.0
11904101,9295473,38060.0
11904102,3046384,7429.0
11904699,74142,
11904701,241210,
11904702,94079,
11904703,222410,
11904720,7433,
11904750,447419,
11904999,9535074,
11905000,7245100,
11905001,1371247,1379.0
11905101,1703199,13794.0
11905701,135972,
11905702,11143,
11905703,3599,
11905720,22710,
11905750,192961,
11905999,1916181,176.0
12901000,17702849,
12901001,2820023,751.0
12901042,1508462,453.0
12901101,2179884,117.0
12901699,495,
12901701,167105,
12901702,164216,
12901703,130503,
12901750,234670,
12901999,771295,
13901000,72400034,
13901001,10208889,126795.0
13901004,249588,
13901041,5201389,8709.0
13901042,709468,176.0
13901101,3542305,4922.0
13901102,4016961,4483.0
13901105,2914026,3256.0
13901699,93353,
13901701,366046,
13901702,121405,
13901703,230943,
13901750,1028248,
13901999,9925462,
13902000,10540155,
13902101,5789283,2917.0
13902701,102042,
13902702,82159,
13902703,118178,
13902750,237925,
13902999,775198,
13903000,13430847,
13903001,2580143,768.0
13903101,1563097,500.0
13903701,187272,
13903702,13683,
13903703,134200,
13903720,78000,
13903750,219526,
13903999,4954784,
13905000,29601402,
13905001,2877807,2497.0
13905041,1561203,2715.0
13905101,2480893,16730.0
13905699,1397,
13905701,176355,
13905702,135205,
13905703,59628,
13905720,41659,
13905750,161658,
13905999,3883529,
14901000,26326589,
14901001,3419282,
14901041,2522052,
14901101,2594578,
14901102,2421864,105.0
14901701,398297,
14901702,8465,
14901750,241997,
14901751,404731,
14901999,5587732,27274.0
14902000,7023472,
14902001,2759086,51844.0
14902699,30360,
14902701,137060,
14902702,5577,
14902703,18755,
14902750,177251,
14902999,1715584,524.0
14903000,213667213,
14903001,27336639,53914.0
14903005,3081720,
14903010,2958409,
14903043,7630386,
14903044,7447453,53982.0
14903045,7650735,5819.0
14903046,1357362,
14903102,2290294,
14903103,3362168,
14903104,4186248,177070.0
14903108,4709445,
14903109,4422281,-2172.0
14903111,4738428,
14903116,4036371,
14903117,4590505,
14903118,5466778,10099.0
14903119,3678866,5056.0
14903120,3394202,3366.0
14903699,163618,17062.0
14903701,612093,
14903702,15307,
14903703,593444,
14903750,2799238,
14903999,83952531,61812.0
14905000,14007356,
14905001,1879766,316.0
14905041,1209516,1000.0
14905101,2218631,2565.0
14905699,37339,
14905701,167535,
14905702,13706,
14905703,21048,
14905750,260121,
14905751,2420980,
14905999,3357534,1740.0
14906000,1156000057,
14906001,34616826,13151.0
14906002,20452244,6539.0
14906003,7864011,
14906004,2595114,
14906006,3080320,1432.0
14906007,20686394,471.0
14906008,18654632,2894.0
14906009,2136295,
14906013,8526997,
14906015,37947793,
14906022,222385,
14906042,5742096,2432.0
14906043,6255840,3465.0
14906044,8730305,312.0
14906046,7037744,6861.0
14906048,7226420,1120.0
14906049,7242237,603.0
14906050,5542681,551.0
14906051,6822694,40.0
14906052,6473753,
14906053,7564953,2504.0
14906054,9332984,7046.0
14906055,35462433,
14906100,1306561,
14906102,5024664,3547.0
14906105,6390989,93702.0
14906108,6531365,31.0
14906109,6642604,194411.0
14906110,5492770,124416.0
14906111,3828947,
14906112,4635841,795.0
14906113,4494608,
14906115,5737271,
14906116,4817783,
14906119,6711454,
14906120,7077346,51.0
14906121,7961181,2498.0
14906122,7690087,2750.0
14906123,6091399,
14906124,6257630,328.0
14906125,6747953,459.0
14906126,4989399,3897.0
14906127,7185007,200832.0
14906128,5691859,
14906129,5966037,
14906130,5995099,4046.0
14906131,7599178,
14906132,5981855,9033.0
14906133,6727159,2864.0
14906135,7979668,5965.0
14906136,8506094,4850.0
14906137,5789050,58.0
14906138,7337392,2009.0
14906139,8699480,5840.0
14906140,7044973,
14906141,6593972,
14906142,21359713,
14906143,22633124,
14906144,17862632,
14906145,8318061,
14906699,1205777,18701.0
14906701,1126224,
14906702,52283,
14906703,1108815,
14906750,15258312,
14906998,1727743,
14906999,81326774,
14907000,14138976,
14907001,2046484,
14907041,1450774,
14907102,2356744,
14907699,11159,
14907701,222779,
14907702,7871,
14907703,9169,
14907750,187820,
14907999,3742522,20897.0
14908000,43673832,
14908001,5758982,1972.0
14908042,2650379,3261.0
14908102,5018208,64649.0
14908701,287776,
14908702,21969,
14908703,134614,
14908750,273591,
14908999,46712249,1031.0
14909000,205963936,
14909002,24274457,
14909005,832882,
14909008,710338,
14909041,14425980,
14909042,8551458,
14909044,5556953,
14909101,4948090,
14909102,2749934,
14909107,4054411,
14909110,4375433,
14909111,4702727,
14909114,4096279,
14909116,3491548,
14909117,3504772,
14909118,3458188,
14909198,37022,
14909699,142113,15272.0
14909701,386919,
14909702,41965,
14909703,621684,
14909720,360588,
14909750,2605111,
14909751,495402,
14909998,140514,
14909999,55805326,311693.0
14910000,24121286,
14910001,8914026,4183.0
14910041,3315475,6377.0
14910101,3235815,12358.0
14910103,4117020,7330.0
14910701,325037,
14910702,12633,
14910703,54910,
14910750,227494,
14910999,7551179,1043.0
15901000,146673651,
15901001,13543843,800.0
15901041,7443863,1777.0
15901101,6703538,52705.0
15901102,4132711,31086.0
15901104,6513857,67108.0
15901699,216576,600.0
15901701,728125,
15901702,3196,
15901703,419455,
15901750,1158559,
15901751,14555,
15901999,95859504,16356.0
15904000,313556696,
15904001,16545645,79218.0
15904002,15009609,74268.0
15904003,1671195,13.0
15904004,2776894,2553.0
15904010,626507,
15904011,2373203,
15904041,7455426,4959.0
15904042,7504273,36428.0
15904043,6355497,3654.0
15904044,6251403,8627.0
15904047,83059,
15904101,4112598,59393.0
15904102,4818647,63320.0
15904103,4138164,40937.0
15904104,3976586,488192.0
15904105,5767841,69590.0
15904106,5481682,67465.0
15904107,4798808,74849.0
15904108,5826317,328610.0
15904109,3693828,44752.0
15904110,3647994,38717.0
15904113,4031757,189936.0
15904114,3746033,181297.0
15904115,1488604,
15904116,4392986,51328.0
15904699,154983,25877.0
15904701,383553,
15904702,458304,
15904703,40132,
15904750,4822632,
15904998,968181,
15904999,47598701,117369.0
15905000,188937942,
15905002,9062916,18901.0
15905003,9912540,17649.0
15905015,3388066,17649.0
15905041,6352446,82919.0
15905042,749746,412.0
15905044,4895960,81113.0
15905046,5575343,77887.0
15905104,4623831,290446.0
15905106,4683997,177543.0
15905108,2975311,104536.0
15905109,4204746,186651.0
15905110,4410759,213954.0
15905112,5793374,212267.0
15905113,4260303,203460.0
15905114,4240406,206300.0
15905116,4295515,205160.0
15905117,4358792,204164.0
15905118,3223228,9682.0
15905124,58010,
15905125,3485558,9682.0
15905140,995914,212.0
15905141,37354,
15905699,61090,312.0
15905701,974271,
15905702,296336,
15905703,126785,
15905750,3597620,
15905999,35100303,119369.0
15906000,45072483,
15906001,5271382,1024.0
15906041,3038836,191.0
15906101,7910408,124.0
15906701,440216,
15906702,24014,
15906750,615970,
15906999,8555495,
15907000,1725524412,
15907001,36882853,4606.0
15907002,31378570,4666.0
15907003,32320981,5134.0
15907004,18533629,
15907005,14781602,9481.0
15907006,31955369,2802.0
15907007,35246982,3977.0
15907008,33389978,9472.0
15907010,2742435,
15907022,3459734,
15907023,4652927,
15907024,3534800,2324.0
15907025,2617591,
15907026,9738785,6991.0
15907027,4919330,
15907028,2846967,2333.0
15907030,1694840,
15907043,18023464,2333.0
15907047,7372999,2332.0
15907050,8326611,4647.0
15907051,4614696,2330.0
15907054,4481879,2327.0
15907055,5988104,2332.0
15907057,17439675,
15907059,6011050,4766.0
15907061,17046288,2312.0
15907064,1859005,
15907101,5058381,29003.0
15907103,6192784,12359.0
15907105,3552609,5247.0
15907106,4599658,15138.0
15907107,5341353,46576.0
15907110,11906308,9610.0
15907112,3762779,13374.0
15907114,3881855,
15907116,4125360,45486.0
15907117,4480821,13987.0
15907118,6561406,383343.0
15907119,3934548,13969.0
15907120,2851291,
15907121,5568273,31792.0
15907123,5036118,13576.0
15907124,2788099,
15907125,5279774,
15907126,4114107,197278.0
15907127,3274239,
15907129,5971611,28363.0
15907131,3148661,
15907132,4322950,220443.0
15907133,4891,
15907134,4656655,20384.0
15907135,4440212,13605.0
15907136,4176507,12883.0
15907137,5686294,
15907138,3485023,361697.0
15907139,3756540,
15907141,7260573,15506.0
15907142,3528740,
15907143,2644047,
15907144,6514941,19294.0
15907146,4783291,13395.0
15907147,13513434,16891.0
15907148,4547174,13390.0
15907149,5407834,12639.0
15907150,4777101,15521.0
15907153,4197785,12817.0
15907155,4815375,377678.0
15907157,6188046,40363.0
15907158,4249446,19203.0
15907160,4196599,12809.0
