Campus Number,Bilingual Spending,Account Amount,2020 EL Denominator,2020 All Students Denominator,Percentage Bilingual Spending,2020 EL Pop Percent
8901101,95291.0,4314459.0,,,0.022086430766870193,
8901102,20268.0,2643987.0,,,0.007665695784434643,
8901105,,1516731.0,,,,
8902001,2498.0,9746387.0,25.0,194.0,0.00025630010382308847,0.12886597938144329
8902041,22451.0,4885802.0,,,0.004595151420380933,
8902102,77920.0,4920151.0,,,0.015836912322406364,
8902104,102426.0,4373128.0,,,0.02342167894468216,
8903001,9685.0,2585068.0,,69.0,0.003746516532640534,
8903041,,1728899.0,,,,
8903102,144009.0,2342537.0,,,0.06147565652111365,
9901001,68818.0,4138369.0,6.0,75.0,0.01662925659843286,0.08
9901041,35068.0,2888984.0,,,0.012138523439382149,
9901101,142529.0,2527247.0,,,0.05639694101921973,
9901103,155674.0,2829104.0,,,0.055025902193768766,
10901001,9671.0,5031180.0,,20.0,0.0019222130792378726,
10902001,29393.0,5180593.0,,153.0,0.005673674809042131,
10902041,8766.0,3034043.0,,,0.002889214160774913,
10902101,14142.0,3218892.0,,,0.004393437244865624,
10902102,7115.0,3135348.0,,,0.0022692855785067557,
11901001,39828.0,11801126.0,27.0,285.0,0.0033749321886741993,0.09473684210526316
11901002,51640.0,11364330.0,58.0,343.0,0.0045440426316377645,0.16909620991253643
11901005,7885.0,1357754.0,,44.0,0.005807384842909688,
11901022,4044.0,800858.0,31.0,148.0,0.005049584320815925,0.20945945945945946
11901041,29371.0,5444976.0,,,0.005394146824522275,
11901101,143226.0,5312036.0,,,0.02696254317553571,
11901102,36315.0,5069224.0,,,0.007163818367466105,
11901103,303213.0,5733148.0,,,0.05288769799767946,
11901104,43152.0,5289614.0,,,0.00815787314537507,
11901106,51014.0,5959417.0,,,0.008560233324836977,
11901107,162560.0,5378851.0,,,0.030222067872859835,
11901108,63211.0,5927317.0,,,0.010664352859818363,
11901109,195265.0,5276974.0,,,0.037003214342158974,
11901110,183694.0,5509511.0,,,0.033341252971452455,
11902001,1007.0,12868811.0,30.0,303.0,7.825120751248892e-05,0.09900990099009901
11902004,,1317819.0,5.0,30.0,,0.16666666666666666
11902041,700.0,7768275.0,,,9.011009522706135e-05,
11902042,919.0,724684.0,,,0.0012681389405589194,
11902101,11597.0,5503225.0,,,0.002107309804705423,
11902102,19454.0,6522845.0,,,0.002982440944097246,
11902103,10006.0,5984887.0,,,0.0016718778483202773,
11904002,1822.0,4810019.0,,123.0,0.0003787926825237073,
11904041,1165.0,4093150.0,,,0.0002846218682432845,
11904101,38060.0,9295473.0,,,0.0040944661987614836,
11904102,7429.0,3046384.0,,,0.002438628879353358,
11905001,1379.0,1371247.0,,,0.0010056539777297598,
11905101,13794.0,1703199.0,,,0.00809887746528738,
12901001,751.0,2820023.0,,35.0,0.0002663098847066141,
12901042,453.0,1508462.0,,,0.00030030587446021177,
12901101,117.0,2179884.0,,,5.367258074282852e-05,
13801101,,,,,,
13901001,126795.0,10208889.0,,249.0,0.012420058637134756,
13901004,,249588.0,,,,
13901041,8709.0,5201389.0,,,0.001674360444873475,
13901042,176.0,709468.0,,,0.00024807320414733296,
13901101,4922.0,3542305.0,,,0.0013894907411981746,
13901102,4483.0,4016961.0,,,0.0011160178055002277,
13901105,3256.0,2914026.0,,,0.001117354477962791,
13902101,2917.0,5789283.0,,,0.0005038620499291536,
13903001,768.0,2580143.0,,36.0,0.00029765792051060735,
13903101,500.0,1563097.0,,,0.0003198777810973983,
13905001,2497.0,2877807.0,,68.0,0.0008676745869337311,
13905041,2715.0,1561203.0,,,0.0017390435452660545,
13905101,16730.0,2480893.0,,,0.006743539523873057,
14801001,,,8.0,100.0,,0.08
14801002,,,26.0,232.0,,0.11206896551724138
14801004,,,,77.0,,
14801005,,,23.0,134.0,,0.17164179104477612
14801006,,,11.0,95.0,,0.11578947368421053
14801007,,,,131.0,,
14801008,,,,107.0,,
14801009,,,18.0,106.0,,0.16981132075471697
14801010,,,7.0,65.0,,0.1076923076923077
14803002,,,,,,
14803003,,,,9.0,,
14803004,,,,,,
14803101,,,,,,
14804002,,,,,,
14804005,,,,26.0,,
14804006,,,,60.0,,
14804007,,,,,,
14804008,,,,,,
14901001,,3419282.0,,118.0,,
14901041,,2522052.0,,,,
14901101,,2594578.0,,,,
14901102,105.0,2421864.0,,,4.335503562545213e-05,
14902001,51844.0,2759086.0,,22.0,0.018790280549428325,
14903001,53914.0,27336639.0,30.0,715.0,0.0019722248956793847,0.04195804195804196
14903006,,,,,,
14903010,,2958409.0,,,,
14903043,,7630386.0,,,,
14903044,53982.0,7447453.0,,,0.007248384111991039,
14903045,5819.0,7650735.0,,,0.0007605805193880065,
14903046,,1357362.0,,,,
14903102,,2290294.0,,,,
14903103,,3362168.0,,,,
14903104,177070.0,4186248.0,,,0.042298019610878285,
14903108,,4709445.0,,,,
14903109,-2172.0,4422281.0,,,-0.000491149250805184,
14903111,,4738428.0,,,,
14903116,,4036371.0,,,,
14903117,,4590505.0,,,,
14903118,10099.0,5466778.0,,,0.001847340426115712,
14903119,5056.0,3678866.0,,,0.0013743365482732995,
14903120,3366.0,3394202.0,,,0.000991691125042057,
14905001,316.0,1879766.0,,55.0,0.00016810603021865487,
14905041,1000.0,1209516.0,,,0.0008267769917884509,
14905101,2565.0,2218631.0,,,0.0011561183450515206,
14906001,13151.0,34616826.0,32.0,443.0,0.00037990195866021917,0.07223476297968397
14906002,6539.0,20452244.0,31.0,577.0,0.0003197204179648942,0.053726169844020795
14906004,,2595114.0,,,,
14906006,1432.0,3080320.0,19.0,284.0,0.0004648867650114274,0.06690140845070422
14906007,471.0,20686394.0,20.0,583.0,2.2768588860871546e-05,0.03430531732418525
14906008,2894.0,18654632.0,42.0,453.0,0.0001551357325086874,0.09271523178807947
14906009,,2136295.0,,,,
14906013,,8526997.0,,,,
14906022,,222385.0,,,,
14906043,3465.0,6255840.0,,,0.0005538824522366301,
14906044,312.0,8730305.0,,,3.573758305122215e-05,
14906046,6861.0,7037744.0,,,0.0009748862703730059,
14906048,1120.0,7226420.0,,,0.0001549868399567144,
14906049,603.0,7242237.0,,,8.326156683356262e-05,
14906050,551.0,5542681.0,,,9.941037559260582e-05,
14906051,40.0,6822694.0,,,5.86278675256431e-06,
14906052,,6473753.0,,,,
14906053,2504.0,7564953.0,,,0.00033100007362901,
14906054,7046.0,9332984.0,,,0.000754956828384148,
14906055,,35462433.0,,,,
14906100,,1306561.0,,,,
14906102,3547.0,5024664.0,,,0.0007059178484372288,
14906105,93702.0,6390989.0,,,0.014661580547236116,
14906108,31.0,6531365.0,,,4.746327911546821e-06,
14906109,194411.0,6642604.0,,,0.029267287346950083,
14906110,124416.0,5492770.0,,,0.02265086650269354,
14906111,,3828947.0,,,,
14906112,795.0,4635841.0,,,0.00017148991952053576,
14906113,,4494608.0,,,,
14906115,,5737271.0,,,,
14906116,,4817783.0,,,,
14906119,,6711454.0,,,,
14906120,51.0,7077346.0,,,7.206091096860321e-06,
14906121,2498.0,7961181.0,,,0.00031377254203867493,
14906122,2750.0,7690087.0,,,0.00035760323647833893,
14906123,,6091399.0,,,,
14906124,328.0,6257630.0,,,5.241601053433968e-05,
14906125,459.0,6747953.0,,,6.802062788522682e-05,
14906126,3897.0,4989399.0,,,0.0007810559949204303,
14906127,200832.0,7185007.0,,,0.02795153853016427,
14906128,,5691859.0,,,,
14906129,,5966037.0,,,,
14906130,4046.0,5995099.0,,,0.0006748846015720508,
14906131,,7599178.0,,,,
14906132,9033.0,5981855.0,,,0.0015100666933584982,
14906133,2864.0,6727159.0,,,0.00042573692698507645,
14906135,5965.0,7979668.0,,,0.0007475248343665426,
14906136,4850.0,8506094.0,,,0.0005701794501683146,
14906137,58.0,5789050.0,,,1.0018915020599234e-05,
14906138,2009.0,7337392.0,,,0.00027380300793524456,
14906139,5840.0,8699480.0,,,0.0006713044917627261,
14906140,,7044973.0,,,,
14906141,,6593972.0,,,,
14907001,,2046484.0,,64.0,,
14907041,,1450774.0,,,,
14907043,,,,,,
14907102,,2356744.0,,,,
14908001,1972.0,5758982.0,6.0,148.0,0.00034242162937824774,0.04054054054054054
14908005,,,,,,
14908042,3261.0,2650379.0,,,0.001230390068741112,
14908102,64649.0,5018208.0,,,0.012882885683494985,
14909002,,24274457.0,34.0,496.0,,0.06854838709677419
14909005,,832882.0,,,,
14909008,,710338.0,5.0,86.0,,0.05813953488372093
14909041,,14425980.0,,,,
14909042,,8551458.0,,,,
14909044,,5556953.0,,,,
14909101,,4948090.0,,,,
14909102,,2749934.0,,,,
14909107,,4054411.0,,,,
14909110,,4375433.0,,,,
14909111,,4702727.0,,,,
14909114,,4096279.0,,,,
14909116,,3491548.0,,,,
14909117,,3504772.0,,,,
14909118,,3458188.0,,,,
14909198,,37022.0,,,,
14910001,4183.0,8914026.0,,112.0,0.0004692604665950043,
14910041,6377.0,3315475.0,,,0.0019234046403607326,
14910101,12358.0,3235815.0,,,0.0038191305745229566,
14910103,7330.0,4117020.0,,,0.0017804139887588595,
15801001,,,,91.0,,
15801002,,,,12.0,,
15802001,,,,13.0,,
15802004,,,,9.0,,
15805001,,,7.0,63.0,,0.1111111111111111
15805041,,,,,,
15806003,,,,20.0,,
15806041,,,,,,
15806101,,,,,,
15806106,,,,,,
15807001,,,,,,
15807002,,,,13.0,,
15807004,,,,27.0,,
15807005,,,,18.0,,
15807101,,,,,,
15807102,,,,,,
15808003,,,,,,
15808007,,,,,,
15808009,,,,,,
15808012,,,,,,
15808014,,,,,,
15809101,,,,,,
15814001,,,,70.0,,
15815001,,,,,,
15815041,,,13.0,28.0,,0.4642857142857143
15815042,,,,,,
15815101,,,,,,
15815104,,,,,,
15822001,,,8.0,73.0,,0.1095890410958904
15822002,,,,,,
15822004,,,,,,
15822005,,,,,,
15822006,,,,,,
15822007,,,,,,
15822008,,,,,,
15822009,,,,,,
15822010,,,15.0,60.0,,0.25
15822011,,,,,,
15822012,,,,,,
15822013,,,,,,
15822014,,,,,,
15825001,,,,,,
15825101,,,,,,
15827001,,,5.0,73.0,,0.0684931506849315
15827002,,,,,,
15827003,,,,,,
15827004,,,,,,
15827005,,,,,,
15827006,,,,,,
15828001,,,11.0,86.0,,0.12790697674418605
15828002,,,,,,
15828003,,,,,,
15828004,,,,,,
15828005,,,,,,
15828006,,,,,,
15828007,,,,,,
15828008,,,,,,
15830001,,,,100.0,,
15830101,,,,,,
15830102,,,,,,
15830103,,,,,,
15831001,,,,,,
15831002,,,,18.0,,
15831003,,,,,,
15831004,,,,,,
15831005,,,,,,
15831006,,,,,,
15833001,,,,30.0,,
15834001,,,,78.0,,
15834002,,,,,,
15834003,,,,,,
15834101,,,,,,
15834102,,,,,,
15834103,,,,,,
15835001,,,,,,
15835002,,,,43.0,,
15835003,,,,,,
15835004,,,,,,
15835005,,,,,,
15835006,,,,,,
15835007,,,,,,
15835008,,,,,,
15835009,,,,,,
15836001,,,,,,
15838001,,,,,,
15838002,,,,,,
15838003,,,,,,
15839001,,,,,,
15840001,,,,,,
15841001,,,,,,
15901001,800.0,13543843.0,11.0,414.0,5.906743012304558e-05,0.026570048309178744
15901041,1777.0,7443863.0,,,0.00023872013764895996,
15901101,52705.0,6703538.0,,,0.007862266164523868,
15901102,31086.0,4132711.0,,,0.007521938988717091,
15901104,67108.0,6513857.0,,,0.010302344678429385,
15904001,79218.0,16545645.0,51.0,405.0,0.004787845986058567,0.1259259259259259
15904002,74268.0,15009609.0,18.0,354.0,0.004948030291795076,0.05084745762711865
15904003,13.0,1671195.0,,,7.778864824272451e-06,
15904004,2553.0,2776894.0,18.0,116.0,0.0009193725075570044,0.15517241379310345
15904007,,,,,,
15904010,,626507.0,,,,
15904011,,2373203.0,,74.0,,
